Name,F,M,Year
Aatikah,4,0,2003
Aatikah,4,0,2004
Aatikah,3,0,2005
Aatikah,3,0,2006
Aatikah,5,0,2007
Aatikah,3,0,2009
Aatikah,4,0,2010
Aatikah,5,0,2011
Aatiqa,3,0,2007
Aatiqa,5,0,2008
Aatiqah,3,0,1997
Aatiqah,5,0,2003
Aatiqah,3,0,2010
Aatish,0,4,1996
Aava,3,0,2007
Aava,1,0,2009
Aava,4,0,2010
Aaya,4,0,2001
Aaya,6,0,2002
Aaya,4,0,2003
Aaya,11,0,2005
Aaya,4,0,2006
Aaya,4,0,2007
Aaya,3,0,2008
Aaya,4,0,2009
Aaya,4,0,2010
Aayaan,0,3,2005
Aayaan,0,3,2006
Aayaan,0,3,2007
Aayaan,0,3,2008
Aayaan,0,5,2009
Aayah,5,0,2004
Aayah,3,0,2006
Aayah,4,0,2007
Aayah,5,0,2009
Aayah,6,0,2010
Aayah,7,0,2011
Aayan,0,4,2004
Aayan,0,15,2005
Aayan,0,73,2006
Aayan,0,105,2007
Aayan,0,105,2008
Aayan,0,127,2009
Aayan,0,87,2010
Aayan,0,79,2011
Aayat,3,0,2005
Aayat,4,0,2006
Aayat,4,0,2007
Aayat,5,0,2010
Aayat,7,0,2011
Aaydn,0,1,2009
Aayesha,3,0,1996
Aayesha,4,0,2001
Aayesha,3,0,2008
Aayla,3,0,2005
Aayla,4,0,2006
Aayla,4,0,2007
Aayla,4,0,2011
Aaylie,1,0,2010
Aayra,3,0,2011
Aaysha,4,0,2004
Aaysha,4,0,2010
Aaysha,4,0,2011
Aayush,0,3,1996
Aayush,0,4,1997
Aayush,0,4,1999
Aayush,0,5,2001
Aayush,0,4,2002
Aayush,0,4,2003
Aayush,0,11,2004
Aayush,0,19,2005
Aayush,0,13,2006
Aayush,0,12,2007
Aayush,0,15,2008
Aayush,0,18,2009
Aayush,0,23,2010
Aayush,0,27,2011
Aayushi,4,0,2001
Aayushi,3,0,2006
Aayushi,4,0,2007
Aayushi,5,0,2008
Aayushi,5,0,2009
Aayushi,5,0,2010
Aayushi,6,0,2011
Aayza,4,0,2001
Aazan,0,3,2008
Aazan,0,1,2009
Aazeen,4,0,2011
Aba,3,0,2000
Aba,3,0,2010
Abaan,0,3,2002
Abaan,0,5,2005
Abaan,0,4,2007
Abaan,0,6,2009
Abaan,0,8,2011
Abaas,0,4,1998
Abaas,0,5,1999
Abaas,0,4,2000
Abaas,0,3,2003
Abaas,0,3,2004
Abaas,0,5,2006
Abaas,0,4,2008
Abagael,4,0,1999
Abagael,1,0,2010
Abagail,3,0,1996
Abagail,3,0,1997
Abagail,5,0,1998
Abagail,5,0,1999
Abagail,5,0,2000
Abagail,1,0,2010
Abaigeal,3,0,2004
Abaigh,3,0,2007
Aban,0,4,2005
Aban,0,3,2007
Aban,0,4,2008
Aban,0,3,2010
Aban,0,3,2011
Abanoub,0,3,1996
Abas,0,6,1996
Abas,0,3,1997
Abas,0,4,1998
Abas,0,4,2001
Abas,0,4,2002
Abas,0,6,2004
Abas,0,5,2009
Abas,0,3,2011
Abass,0,3,1996
Abass,0,5,1998
Abass,0,7,2001
Abass,0,5,2003
Abass,0,3,2008
Abass,0,6,2009
Abass,0,3,2010
Abayomi,0,3,1996
Abayomi,0,5,1997
Abayomi,0,4,1998
